state,Representatives,Ratio
Wyoming,3,187875
Vermont,3,208580
North Dakota,3,224197
Alaska,3,236743
South Dakota,3,271393
Delaware,3,299311
Montana,3,329805
Rhode Island,3,350855
New Hampshire,3,438823
Maine,3,442787
Hawaii,3,453433
Idaho,3,522527
Nebraska,3,608780
West Virginia,3,617664
Nevada,4,675137
Alabama,7,682819
New Mexico,3,686393
Utah,4,690971
Tennessee,9,705122
Arizona,9,710224
Wisconsin,8,710873
Kansas,4,713279
Connecticut,5,714819
Colorado,7,718456
Indiana,9,720422
Maryland,8,721694
Kentucky,6,723227
Virginia,11,727365
Massachusetts,9,727514
Arkansas,4,728979
New Jersey,12,732657
North Carolina,13,733498
Mississippi,4,741824
Georgia,13,745204
Washington,9,747171
Pennsylvania,17,747198
Missouri,8,748615
Oklahoma,5,750270
Florida,25,752052
Illinois,17,754743
Louisiana,6,755562
Minnesota,7,757703
Michigan,13,760280
California,49,760284
Iowa,4,761588
Texas,33,761986
Oregon,5,766214
Ohio,15,769100
South Carolina,6,770894
New York,25,775124
